Validation_Set,Topics,Alpha,Beta,Coherence_(c_v),Coherence_(u_mass)
75% Corpus,15,0.61,0.31,0.6013345372714952,0.6013345372714952
75% Corpus,15,0.61,0.61,0.519485537729165,0.519485537729165
75% Corpus,15,0.61,0.9099999999999999,0.7009891440698535,0.7009891440698535
75% Corpus,15,0.61,symmetric,0.6751629871807396,0.6751629871807396
75% Corpus,15,0.9099999999999999,0.01,0.7128616367975298,0.7128616367975298
75% Corpus,15,0.9099999999999999,0.31,0.5530231378434972,0.5530231378434972
75% Corpus,15,0.9099999999999999,0.61,0.7022008407346375,0.7022008407346375
75% Corpus,15,0.9099999999999999,0.9099999999999999,0.7059136174823267,0.7059136174823267
75% Corpus,15,0.9099999999999999,symmetric,0.6896871836323337,0.6896871836323337
75% Corpus,15,symmetric,0.01,0.5139694962679008,0.5139694962679008
75% Corpus,15,symmetric,0.31,0.49644442523372756,0.49644442523372756
75% Corpus,15,symmetric,0.61,0.5000006677194289,0.5000006677194289
75% Corpus,15,symmetric,0.9099999999999999,0.49864389154328503,0.49864389154328503
75% Corpus,15,symmetric,symmetric,0.5081482931548014,0.5081482931548014
75% Corpus,15,asymmetric,0.01,0.43795020792368067,0.43795020792368067
75% Corpus,15,asymmetric,0.31,0.432498627685098,0.432498627685098
75% Corpus,15,asymmetric,0.61,0.42783179207716093,0.42783179207716093
75% Corpus,15,asymmetric,0.9099999999999999,0.4203980324623242,0.4203980324623242
75% Corpus,15,asymmetric,symmetric,0.44145607165085565,0.44145607165085565
75% Corpus,16,0.01,0.01,0.601270608003615,0.601270608003615
75% Corpus,16,0.01,0.31,0.5019559551275381,0.5019559551275381
75% Corpus,16,0.01,0.61,0.48218906200151535,0.48218906200151535
75% Corpus,16,0.01,0.9099999999999999,0.4774808280338142,0.4774808280338142
75% Corpus,16,0.01,symmetric,0.5652443989289682,0.5652443989289682
75% Corpus,16,0.31,0.01,0.6640692358332226,0.6640692358332226
75% Corpus,16,0.31,0.31,0.643726461930402,0.643726461930402
75% Corpus,16,0.31,0.61,0.6018396429150699,0.6018396429150699
75% Corpus,16,0.31,0.9099999999999999,0.5784057223867906,0.5784057223867906
75% Corpus,16,0.31,symmetric,0.666828981564215,0.666828981564215
75% Corpus,16,0.61,0.01,0.6550165604933821,0.6550165604933821
75% Corpus,16,0.61,0.31,0.5671102320458296,0.5671102320458296
75% Corpus,16,0.61,0.61,0.6000717746578965,0.6000717746578965
75% Corpus,16,0.61,0.9099999999999999,0.6874343755662424,0.6874343755662424
75% Corpus,16,0.61,symmetric,0.6703435056763909,0.6703435056763909
75% Corpus,16,0.9099999999999999,0.01,0.7231853992053536,0.7231853992053536
75% Corpus,16,0.9099999999999999,0.31,0.5789899600846705,0.5789899600846705
75% Corpus,16,0.9099999999999999,0.61,0.7057166265866945,0.7057166265866945
75% Corpus,16,0.9099999999999999,0.9099999999999999,0.705620497215282,0.705620497215282
75% Corpus,16,0.9099999999999999,symmetric,0.7065964164188283,0.7065964164188283
75% Corpus,16,symmetric,0.01,0.46200903203547916,0.46200903203547916
75% Corpus,16,symmetric,0.31,0.4467690305427602,0.4467690305427602
75% Corpus,16,symmetric,0.61,0.448175095796522,0.448175095796522
75% Corpus,16,symmetric,0.9099999999999999,0.44496369701122473,0.44496369701122473
75% Corpus,16,symmetric,symmetric,0.4529362418087891,0.4529362418087891
75% Corpus,16,asymmetric,0.01,0.46074259276302904,0.46074259276302904
75% Corpus,16,asymmetric,0.31,0.44683182122305065,0.44683182122305065
75% Corpus,16,asymmetric,0.61,0.4380276152152929,0.4380276152152929
75% Corpus,16,asymmetric,0.9099999999999999,0.4284070748043344,0.4284070748043344
75% Corpus,16,asymmetric,symmetric,0.45289704150096743,0.45289704150096743
75% Corpus,17,0.01,0.01,0.5751217520095755,0.5751217520095755
75% Corpus,17,0.01,0.31,0.4716018753787189,0.4716018753787189
75% Corpus,17,0.01,0.61,0.46561649518324927,0.46561649518324927
75% Corpus,17,0.01,0.9099999999999999,0.4633618534269473,0.4633618534269473
75% Corpus,17,0.01,symmetric,0.5217129914457812,0.5217129914457812
75% Corpus,17,0.31,0.01,0.6440222319260374,0.6440222319260374
75% Corpus,17,0.31,0.31,0.6128926142592208,0.6128926142592208
75% Corpus,17,0.31,0.61,0.5729508997382995,0.5729508997382995
75% Corpus,17,0.31,0.9099999999999999,0.5660180325872378,0.5660180325872378
75% Corpus,17,0.31,symmetric,0.6406543604312247,0.6406543604312247
75% Corpus,17,0.61,0.01,0.6405260799833749,0.6405260799833749
75% Corpus,17,0.61,0.31,0.543747898783665,0.543747898783665
75% Corpus,17,0.61,0.61,0.6645216153998645,0.6645216153998645
75% Corpus,17,0.61,0.9099999999999999,0.6934223663514687,0.6934223663514687
75% Corpus,17,0.61,symmetric,0.6586305832469408,0.6586305832469408
75% Corpus,17,0.9099999999999999,0.01,0.7238078034579749,0.7238078034579749
75% Corpus,17,0.9099999999999999,0.31,0.6357074807842795,0.6357074807842795
75% Corpus,17,0.9099999999999999,0.61,0.7060037365964941,0.7060037365964941
75% Corpus,17,0.9099999999999999,0.9099999999999999,0.7057396962640863,0.7057396962640863
75% Corpus,17,0.9099999999999999,symmetric,0.7056552496489551,0.7056552496489551
75% Corpus,17,symmetric,0.01,0.46496429201236067,0.46496429201236067
75% Corpus,17,symmetric,0.31,0.44935877592996704,0.44935877592996704
75% Corpus,17,symmetric,0.61,0.4483485755529834,0.4483485755529834
75% Corpus,17,symmetric,0.9099999999999999,0.4505892687278137,0.4505892687278137
75% Corpus,17,symmetric,symmetric,0.45674664041501467,0.45674664041501467
75% Corpus,17,asymmetric,0.01,0.4406689276590866,0.4406689276590866
75% Corpus,17,asymmetric,0.31,0.3995020299524806,0.3995020299524806
75% Corpus,17,asymmetric,0.61,0.395894027217553,0.395894027217553
75% Corpus,17,asymmetric,0.9099999999999999,0.39811328699698645,0.39811328699698645
75% Corpus,17,asymmetric,symmetric,0.4143195915868879,0.4143195915868879
75% Corpus,18,0.01,0.01,0.5755634775249383,0.5755634775249383
75% Corpus,18,0.01,0.31,0.47674398538329804,0.47674398538329804
75% Corpus,18,0.01,0.61,0.46246613063604847,0.46246613063604847
75% Corpus,18,0.01,0.9099999999999999,0.4559641017834299,0.4559641017834299
75% Corpus,18,0.01,symmetric,0.5352629373297538,0.5352629373297538
75% Corpus,18,0.31,0.01,0.6388903166810483,0.6388903166810483
75% Corpus,18,0.31,0.31,0.5959990661750597,0.5959990661750597
75% Corpus,18,0.31,0.61,0.5517028234890498,0.5517028234890498
75% Corpus,18,0.31,0.9099999999999999,0.5374524382796942,0.5374524382796942
75% Corpus,18,0.31,symmetric,0.6480306394219792,0.6480306394219792
75% Corpus,18,0.61,0.01,0.6449027293979355,0.6449027293979355
75% Corpus,18,0.61,0.31,0.508483833876068,0.508483833876068
75% Corpus,18,0.61,0.61,0.6778906427518581,0.6778906427518581
75% Corpus,18,0.61,0.9099999999999999,0.6922147214547124,0.6922147214547124
75% Corpus,18,0.61,symmetric,0.6521352372482344,0.6521352372482344
75% Corpus,18,0.9099999999999999,0.01,0.7341919007301007,0.7341919007301007
75% Corpus,18,0.9099999999999999,0.31,0.6550296504741845,0.6550296504741845
75% Corpus,18,0.9099999999999999,0.61,0.7060437775806002,0.7060437775806002
75% Corpus,18,0.9099999999999999,0.9099999999999999,0.705485949438302,0.705485949438302
75% Corpus,18,0.9099999999999999,symmetric,0.695768913496583,0.695768913496583
75% Corpus,18,symmetric,0.01,0.46590493638116887,0.46590493638116887
75% Corpus,18,symmetric,0.31,0.4439614292688375,0.4439614292688375
75% Corpus,18,symmetric,0.61,0.4533268576375338,0.4533268576375338
75% Corpus,18,symmetric,0.9099999999999999,0.4510114260324708,0.4510114260324708
75% Corpus,18,symmetric,symmetric,0.45773151570706677,0.45773151570706677
75% Corpus,18,asymmetric,0.01,0.4447498925771691,0.4447498925771691
75% Corpus,18,asymmetric,0.31,0.41790394941862324,0.41790394941862324
75% Corpus,18,asymmetric,0.61,0.41174999246093846,0.41174999246093846
75% Corpus,18,asymmetric,0.9099999999999999,0.40952637764826133,0.40952637764826133
75% Corpus,18,asymmetric,symmetric,0.4271286141922089,0.4271286141922089
75% Corpus,19,0.01,0.01,0.5694888782614437,0.5694888782614437
75% Corpus,19,0.01,0.31,0.475582711572228,0.475582711572228
75% Corpus,19,0.01,0.61,0.4509680962588807,0.4509680962588807
75% Corpus,19,0.01,0.9099999999999999,0.44271281785805155,0.44271281785805155
75% Corpus,19,0.01,symmetric,0.5262694373455933,0.5262694373455933
75% Corpus,19,0.31,0.01,0.6326727390649267,0.6326727390649267
75% Corpus,19,0.31,0.31,0.5842793549049061,0.5842793549049061
75% Corpus,19,0.31,0.61,0.5482034362744763,0.5482034362744763
75% Corpus,19,0.31,0.9099999999999999,0.526699610160732,0.526699610160732
75% Corpus,19,0.31,symmetric,0.6272732597628803,0.6272732597628803
75% Corpus,19,0.61,0.01,0.6617896423438718,0.6617896423438718
75% Corpus,19,0.61,0.31,0.48846454819309887,0.48846454819309887
75% Corpus,19,0.61,0.61,0.6866563110596814,0.6866563110596814
75% Corpus,19,0.61,0.9099999999999999,0.7051618173589637,0.7051618173589637
75% Corpus,19,0.61,symmetric,0.6461519644110093,0.6461519644110093
75% Corpus,19,0.9099999999999999,0.01,0.7390587151795661,0.7390587151795661
75% Corpus,19,0.9099999999999999,0.31,0.6745755796918165,0.6745755796918165
75% Corpus,19,0.9099999999999999,0.61,0.7056171271743118,0.7056171271743118
75% Corpus,19,0.9099999999999999,0.9099999999999999,0.7067039985427624,0.7067039985427624
75% Corpus,19,0.9099999999999999,symmetric,0.7009288842048731,0.7009288842048731
75% Corpus,19,symmetric,0.01,0.4642441904017181,0.4642441904017181
75% Corpus,19,symmetric,0.31,0.42681766460482157,0.42681766460482157
75% Corpus,19,symmetric,0.61,0.4283137814166122,0.4283137814166122
75% Corpus,19,symmetric,0.9099999999999999,0.43003446451544963,0.43003446451544963
75% Corpus,19,symmetric,symmetric,0.4310864314211716,0.4310864314211716
75% Corpus,19,asymmetric,0.01,0.4683757869224689,0.4683757869224689
75% Corpus,19,asymmetric,0.31,0.4411054176199753,0.4411054176199753
75% Corpus,19,asymmetric,0.61,0.4365708871382035,0.4365708871382035
75% Corpus,19,asymmetric,0.9099999999999999,0.42407866109000425,0.42407866109000425
75% Corpus,19,asymmetric,symmetric,0.44411287052332493,0.44411287052332493
75% Corpus,20,0.01,0.01,0.5670405441967306,0.5670405441967306
